,zone_key,macro_area,latitude,longitude
0,arco_della_pace,milano_centro,45.4756896,9.172424
1,arena,milano_centro,45.4754159,9.1814367
2,brera,milano_centro,45.4715187,9.1877351
3,borgogna_largo_augusto,milano_centro,,
4,cadorna_castello,milano_centro,45.4675214,9.1771143
5,carrobbio,milano_centro,45.4602007,9.181269
6,duomo,milano_centro,45.4641385,9.1885548
7,guastalla,milano_centro,45.4597571,9.198675
8,lanza,milano_centro,45.4718013,9.1823052
9,missori,milano_centro,45.4599554,9.1893681
10,moscova,milano_centro,45.4770858,9.1843685
11,navigli_darsena,milano_centro,,
12,palestro,milano_centro,45.4716297,9.2021428
13,paolo_sarpi,milano_centro,45.4814628,9.1768835
14,quadrilatero_della_moda,milano_centro,45.4775948,9.1846483
15,san_vittore,milano_centro,45.5666193,8.8896459
16,san_babila,milano_centro,45.4666474,9.197568
17,scala_manzoni,milano_centro,45.4675733,9.1901177
18,sempione,milano_centro,45.4771041,9.1701771
19,vincenzo_monti,milano_centro,45.5069475,9.0979067
20,quadronno_crocetta,milano_centro,45.4542738,9.1956417
21,turati,milano_centro,45.4746191,9.1947419
22,buenos_aires,milano_nord_est,45.477891,9.2129012
23,bignami_ponale,milano_nord_est,,
24,cascina_dei_pomi,milano_nord_est,45.4969041,9.2085756
25,casoretto,milano_nord_est,45.4885214,9.2273953
26,cimiano,milano_nord_est,45.5011666,9.2446195
27,centrale,milano_nord_est,45.4847973,9.2032159
28,città_studi,milano_nord_est,45.4781089,9.2264995
29,crescenzago,milano_nord_est,45.5094512,9.2475983
30,dezza,milano_nord_est,45.4724593,9.2008641
31,greco_segnano,milano_nord_est,45.5022959,9.2121145
32,gorla,milano_nord_est,45.5050319,9.2243422
33,istria,milano_nord_est,45.5016171,9.197952
34,indipendenza,milano_nord_est,45.4274509,9.3098024
35,lambrate,milano_nord_est,45.4824346,9.2410536
36,maggiolina,milano_nord_est,45.4926428,9.2009254
37,melchiorre_gioia,milano_nord_est,45.4948834,9.206843
38,morgagni,milano_nord_est,45.4772841,9.2110165
39,ortica,milano_nord_est,45.4708158,9.2409345
40,repubblica,milano_nord_est,45.4794372,9.1979411
41,parco_trotter,milano_nord_est,45.4944959,9.2241994
