Sr. No.,Unique ID,group,V_1,V_2,V_diff,V_diff_nonabs,SD_1,SD_2,SD_diff,Aristotle,Shock,Algorithmic_aversion,Algorithmic_liking,GPT_Usage,GPT_Familiarity,Confidence,Knowledge_Depth_1,Knowledge_Depth_2,Knowledge_Breadth_1,Knowledge_Breadth_2
1,12198,2,52,64,12,12,4,5,1,0,1,5,3,7,5,5,5,5,3,5
2,12196,4,70,76,6,6,4,5,1,1,1,5,3,6,6,5,6,6,5,6
3,12197,3,65,72,7,7,6,5,-1,1,0,4,5,5,5,4,5,5,6,5
4,12195,1,60,60,0,0,6,6,0,0,0,7,4,5,4,4,3,4,6,4
5,12194,2,75,85,10,10,6,6,0,0,1,6,2,7,6,6,7,6,5,6
6,12193,2,80,89,9,9,7,6,-1,0,1,5,3,7,4,5,6,6,7,7
7,12191,3,70,85,15,15,3,4,1,1,0,5,3,5,4,5,6,6,6,6
8,12190,4,35,25,10,-10,1,1,0,1,1,6,3,7,5,5,4,5,7,7
9,12189,1,90,90,0,0,6,7,1,0,0,6,2,7,6,5,7,7,7,7
10,12188,3,71,67,4,-4,5,5,0,1,0,5,5,6,6,5,6,7,6,7
11,12186,4,65,70,5,5,6,6,0,1,1,3,6,6,2,4,7,7,7,7
12,12184,2,68,82,14,14,5,6,1,0,1,6,3,6,5,2,5,7,7,6
13,12183,4,55,45,10,-10,6,5,-1,1,1,3,6,7,7,6,6,7,5,7
14,12182,2,30,61,31,31,3,4,1,0,1,6,2,7,5,6,7,7,7,7
15,12181,3,40,60,20,20,2,3,1,1,0,5,3,6,6,3,5,6,7,6
16,12180,4,64,81,17,17,5,6,1,1,1,4,4,6,6,6,5,6,6,5
17,12178,1,70,63,7,-7,4,4,0,0,0,5,2,6,6,5,6,6,6,6
18,12176,2,90,85,5,-5,5,5,0,0,1,6,2,7,6,7,6,6,6,6
19,12175,3,70,83,13,13,5,6,1,1,0,3,5,7,6,5,3,6,6,7
20,12174,1,51,62,11,11,7,7,0,0,0,6,3,7,6,5,3,6,7,6
21,12173,3,30,34,4,4,4,3,-1,1,0,3,5,6,5,5,6,6,6,5
22,12172,3,67,68,1,1,5,5,0,1,0,5,4,6,4,5,5,5,5,5
23,12171,1,21,22,1,1,6,6,0,0,0,4,4,5,7,6,3,6,4,4
24,12170,3,75,85,10,10,5,6,1,1,0,5,3,6,6,6,5,7,5,6
25,12169,1,60,75,15,15,5,5,0,0,0,4,4,6,6,5,6,5,7,5
26,12168,1,40,55,15,15,5,6,1,0,0,5,3,6,5,4,6,7,6,6
27,12167,3,62,84,22,22,1,3,2,1,0,5,3,5,5,3,6,6,5,5
28,12166,3,55,75,20,20,5,5,0,1,0,7,2,5,4,3,6,7,5,7
29,12165,4,30,17,13,-13,3,2,-1,1,1,6,2,6,5,4,4,5,4,3
30,12164,2,52,52,0,0,4,4,0,0,1,5,2,4,3,3,4,6,6,6
31,12163,4,63,55,8,-8,3,3,0,1,1,6,2,7,5,5,3,6,5,6
32,12161,1,40,51,11,11,4,5,1,0,0,6,3,2,3,4,6,7,7,7
33,12162,1,90,95,5,5,6,6,0,0,0,2,6,7,5,5,5,7,7,7
